Group,Number of Tests,Number of Top 5 Hits,Top 5 Hit Rate,Number of 1st in Top 5,First Hit Rate
Overall,9787,7233,0.7390415857770511,6608,0.6751813630325942
T1,2476,2344,0.9466882067851373,2271,0.9172051696284329
T2,1857,1711,0.9213785675821217,1641,0.8836833602584814
T3,2476,2157,0.8711631663974152,1990,0.8037156704361874
T4,2978,1021,0.34284754869039624,706,0.23707186030893218
T1 - Identical Clone,619,619,1.0,618,0.9983844911147012
T1 - Different Whitespaces,619,560,0.9046849757673667,525,0.8481421647819063
T1 - Different Comments,619,576,0.9305331179321487,559,0.9030694668820679
T1 - Different Formatting,619,589,0.9515347334410339,569,0.9192245557350566
T2 - Different Variable Names,619,571,0.9224555735056543,547,0.8836833602584814
T2 - Different Data Types,619,558,0.901453957996769,527,0.851373182552504
T2 - Different Function Names,619,582,0.9402261712439418,567,0.9159935379644588
T3 - Added Statements,619,541,0.8739903069466882,496,0.8012924071082391
T3 - Removed Statements,619,539,0.8707592891760905,498,0.8045234248788369
T3 - Reordered Statements,619,560,0.9046849757673667,529,0.8546042003231018
T3 - Control Flow Modifications,619,517,0.8352180936995154,467,0.7544426494345718
T4 - Same Language,619,487,0.7867528271405493,420,0.678513731825525
T4 - Different Language,2359,534,0.22636710470538363,286,0.12123781263247138
Domain - Puzzles and Games,1166,800,0.6861063464837049,745,0.6389365351629502
Domain - Mathematics,3648,2669,0.7316337719298246,2471,0.6773574561403509
Domain - Text Processing,489,380,0.7770961145194274,358,0.7321063394683026
Domain - Programming Concepts,1503,1101,0.7325349301397206,952,0.633399866932801
Domain - Algorithms and Data Structures,1052,779,0.7404942965779467,723,0.6872623574144486
Domain - Networking and Web Development,210,180,0.8571428571428571,170,0.8095238095238095
Domain - Concurrency and Parallelism,91,64,0.7032967032967034,61,0.6703296703296703
Domain - Graphics and Visualization,582,463,0.7955326460481099,418,0.718213058419244
Domain - Systems Programming and File I/O,478,351,0.7343096234309623,318,0.6652719665271967
Domain - Bioinformatics,32,28,0.875,26,0.8125
Domain - Security and Cryptography,219,180,0.821917808219178,153,0.6986301369863014
Domain - Databases and Data Management,80,62,0.775,55,0.6875
Domain - Miscellaneous Topics,65,45,0.6923076923076923,37,0.5692307692307692
Domain - Operating Systems and Shell Programming,110,83,0.7545454545454545,74,0.6727272727272727
Domain - Software Engineering,16,9,0.5625,9,0.5625
Domain - Artificial Intelligence and Machine Learning,46,39,0.8478260869565217,38,0.8260869565217391
