Group,Number of Tests,Number of Top 5 Hits,Top 5 Hit Rate,Number of 1st in Top 5,First Hit Rate
Overall,8046,6417,0.7975391498881432,5841,0.7259507829977628
T1,2476,2054,0.8295638126009693,1957,0.7903877221324718
T2,1857,1676,0.9025309639203015,1611,0.8675282714054927
T3,2476,1996,0.8061389337641357,1864,0.752827140549273
T4,1237,691,0.5586095392077607,409,0.33063864187550523
T1 - Identical Clone,619,619,1.0,618,0.9983844911147012
T1 - Different Whitespaces,619,332,0.5363489499192245,291,0.4701130856219709
T1 - Different Comments,619,576,0.9305331179321487,554,0.8949919224555735
T1 - Different Formatting,619,527,0.851373182552504,494,0.7980613893376414
T2 - Different Variable Names,619,553,0.8933764135702746,527,0.851373182552504
T2 - Different Data Types,619,550,0.8885298869143781,525,0.8481421647819063
T2 - Different Function Names,619,573,0.925686591276252,559,0.9030694668820679
T3 - Added Statements,619,497,0.802907915993538,468,0.7560581583198708
T3 - Removed Statements,619,511,0.8255250403877221,475,0.7673667205169629
T3 - Reordered Statements,619,549,0.8869143780290791,519,0.8384491114701131
T3 - Control Flow Modifications,619,439,0.7092084006462036,402,0.6494345718901454
T4 - Same Language,619,421,0.6801292407108239,357,0.5767366720516963
T4 - Different Language,618,270,0.4368932038834951,52,0.08414239482200647
Domain - Puzzles and Games,949,742,0.7818756585879874,677,0.7133825079030558
Domain - Mathematics,3029,2330,0.7692307692307693,2141,0.7068339385935952
Domain - Text Processing,390,335,0.8589743589743589,317,0.8128205128205128
Domain - Programming Concepts,1208,987,0.8170529801324503,864,0.7152317880794702
Domain - Algorithms and Data Structures,858,660,0.7692307692307693,612,0.7132867132867133
Domain - Networking and Web Development,169,146,0.863905325443787,127,0.7514792899408284
Domain - Concurrency and Parallelism,78,69,0.8846153846153846,67,0.8589743589743589
Domain - Graphics and Visualization,494,413,0.8360323886639676,381,0.771255060728745
Domain - Systems Programming and File I/O,403,338,0.8387096774193549,293,0.7270471464019851
Domain - Bioinformatics,26,25,0.9615384615384616,24,0.9230769230769231
Domain - Security and Cryptography,182,158,0.8681318681318682,145,0.7967032967032966
Domain - Databases and Data Management,65,58,0.8923076923076924,54,0.8307692307692308
Domain - Miscellaneous Topics,52,36,0.6923076923076923,30,0.5769230769230769
Domain - Operating Systems and Shell Programming,91,75,0.8241758241758241,66,0.7252747252747253
Domain - Software Engineering,13,10,0.7692307692307693,10,0.7692307692307693
Domain - Artificial Intelligence and Machine Learning,39,35,0.8974358974358975,33,0.8461538461538461
