Group,Number of Tests,Number of Top 5 Hits,Top 5 Hit Rate,Number of 1st in Top 5,First Hit Rate
Overall,9787,7228,0.7385307039950956,6688,0.6833554715438848
T1,2476,2339,0.9446688206785138,2278,0.9200323101777059
T2,1857,1719,0.925686591276252,1662,0.8949919224555735
T3,2476,2251,0.9091276252019386,2144,0.8659127625201939
T4,2978,919,0.30859637340496976,604,0.2028206850235057
T1 - Identical Clone,619,619,1.0,618,0.9983844911147012
T1 - Different Whitespaces,619,554,0.8949919224555735,526,0.8497576736672051
T1 - Different Comments,619,583,0.9418416801292407,571,0.9224555735056543
T1 - Different Formatting,619,583,0.9418416801292407,563,0.9095315024232633
T2 - Different Variable Names,619,562,0.9079159935379645,535,0.864297253634895
T2 - Different Data Types,619,571,0.9224555735056543,553,0.8933764135702746
T2 - Different Function Names,619,586,0.9466882067851373,574,0.9273021001615509
T3 - Added Statements,619,566,0.9143780290791599,528,0.8529886914378029
T3 - Removed Statements,619,562,0.9079159935379645,538,0.8691437802907916
T3 - Reordered Statements,619,574,0.9273021001615509,560,0.9046849757673667
T3 - Control Flow Modifications,619,549,0.8869143780290791,518,0.8368336025848142
T4 - Same Language,619,536,0.8659127625201939,484,0.7819063004846527
T4 - Different Language,2359,2,0.000847816871555744,0,0.0
Domain - Puzzles and Games,1166,865,0.741852487135506,791,0.6783876500857633
Domain - Mathematics,3648,2653,0.7272478070175439,2451,0.671875
Domain - Text Processing,489,374,0.7648261758691206,352,0.7198364008179959
Domain - Programming Concepts,1503,1077,0.716566866267465,997,0.6633399866932801
Domain - Algorithms and Data Structures,1052,766,0.7281368821292775,723,0.6872623574144486
Domain - Networking and Web Development,210,159,0.7571428571428571,150,0.7142857142857143
Domain - Concurrency and Parallelism,91,76,0.8351648351648352,75,0.8241758241758241
Domain - Graphics and Visualization,582,469,0.8058419243986255,424,0.7285223367697594
Domain - Systems Programming and File I/O,478,352,0.7364016736401674,319,0.6673640167364017
Domain - Bioinformatics,32,26,0.8125,25,0.78125
Domain - Security and Cryptography,219,168,0.7671232876712328,158,0.7214611872146118
Domain - Databases and Data Management,80,64,0.8,61,0.7625
Domain - Miscellaneous Topics,65,42,0.6461538461538462,33,0.5076923076923077
Domain - Operating Systems and Shell Programming,110,88,0.8,83,0.7545454545454545
Domain - Software Engineering,16,10,0.625,10,0.625
Domain - Artificial Intelligence and Machine Learning,46,39,0.8478260869565217,36,0.782608695652174
