clone_code_id,base_code_id,task,clone_language,similarity_score,domain,subdomain,clone_type,clone_sub_type
z4tt_1_1,z4tt,100 doors,python,0.9999999,Game Development,Puzzles,T1,Identical Clone
z4tt_1_2,z4tt,100 doors,python,0.99421495,Game Development,Puzzles,T1,Different Whitespaces
z4tt_1_3,z4tt,100 doors,python,0.9989105,Game Development,Puzzles,T1,Different Comments
z4tt_1_4,z4tt,100 doors,python,0.9992467,Game Development,Puzzles,T1,Different Formatting
z4tt_2_1,z4tt,100 doors,python,0.9967172,Game Development,Puzzles,T2,Different Variable Names
z4tt_2_2,z4tt,100 doors,python,0.99561214,Game Development,Puzzles,T2,Different Data Types
z4tt_2_3,z4tt,100 doors,python,0.9999999,Game Development,Puzzles,T2,Different Function Names
z4tt_3_1,z4tt,100 doors,python,0.99774337,Game Development,Puzzles,T3,Added Statements
z4tt_3_2,z4tt,100 doors,python,0.99937063,Game Development,Puzzles,T3,Removed Statements
z4tt_3_3,z4tt,100 doors,python,0.9989429,Game Development,Puzzles,T3,Reordered Statements
z4tt_3_4,z4tt,100 doors,python,0.99624956,Game Development,Puzzles,T3,Control Flow Modifications
z4tt_4_1,z4tt,100 doors,python,0.99736947,Game Development,Puzzles,T4,Same Language
z4tt_4_2,z4tt,100 doors,go,0.94561076,Game Development,Puzzles,T4,Different Language
z4tt_4_2,z4tt,100 doors,java,0.94147605,Game Development,Puzzles,T4,Different Language
z4tt_4_2,z4tt,100 doors,javascript,0.9798317,Game Development,Puzzles,T4,Different Language
z4tt_4_2,z4tt,100 doors,php,0.97955364,Game Development,Puzzles,T4,Different Language
z4tt_4_2,z4tt,100 doors,ruby,0.9837183,Game Development,Puzzles,T4,Different Language
vu129_1_1,vu129,100 prisoners,python,1.0,Game Development,Puzzles,T1,Identical Clone
vu129_1_2,vu129,100 prisoners,python,0.967666,Game Development,Puzzles,T1,Different Whitespaces
vu129_1_3,vu129,100 prisoners,python,1.0,Game Development,Puzzles,T1,Different Comments
vu129_1_4,vu129,100 prisoners,python,0.9997015,Game Development,Puzzles,T1,Different Formatting
