clone_code_id,base_code_id,task,clone_language,similarity_score,domain,subdomain,clone_type,clone_sub_type
p3fd_1_1,p3fd,100 doors,python,0.9998311,Puzzles and Games,Logic and Mathematical Puzzles,T1,Identical Clone
p3fd_1_2,p3fd,100 doors,python,0.9985968,Puzzles and Games,Logic and Mathematical Puzzles,T1,Different Whitespaces
p3fd_1_3,p3fd,100 doors,python,0.99970245,Puzzles and Games,Logic and Mathematical Puzzles,T1,Different Comments
p3fd_1_4,p3fd,100 doors,python,0.99970245,Puzzles and Games,Logic and Mathematical Puzzles,T1,Different Formatting
p3fd_2_1,p3fd,100 doors,python,0.9991524,Puzzles and Games,Logic and Mathematical Puzzles,T2,Different Variable Names
p3fd_2_2,p3fd,100 doors,python,0.9993653,Puzzles and Games,Logic and Mathematical Puzzles,T2,Different Data Types
p3fd_2_3,p3fd,100 doors,python,0.9999999,Puzzles and Games,Logic and Mathematical Puzzles,T2,Different Function Names
p3fd_3_1,p3fd,100 doors,python,0.9989018,Puzzles and Games,Logic and Mathematical Puzzles,T3,Added Statements
p3fd_3_2,p3fd,100 doors,python,0.9998362,Puzzles and Games,Logic and Mathematical Puzzles,T3,Removed Statements
p3fd_3_3,p3fd,100 doors,python,0.9996046,Puzzles and Games,Logic and Mathematical Puzzles,T3,Reordered Statements
p3fd_3_4,p3fd,100 doors,python,0.99791604,Puzzles and Games,Logic and Mathematical Puzzles,T3,Control Flow Modifications
p3fd_4_1,p3fd,100 doors,python,0.99796146,Puzzles and Games,Logic and Mathematical Puzzles,T4,Same Language
p3fd_4_2,p3fd,100 doors,javascript,0.98956126,Puzzles and Games,Logic and Mathematical Puzzles,T4,Different Language
p3fd_4_2,p3fd,100 doors,java,0.9467639,Puzzles and Games,Logic and Mathematical Puzzles,T4,Different Language
p3fd_4_2,p3fd,100 doors,go,0.9436049,Puzzles and Games,Logic and Mathematical Puzzles,T4,Different Language
p3fd_4_2,p3fd,100 doors,ruby,0.9945737,Puzzles and Games,Logic and Mathematical Puzzles,T4,Different Language
p3fd_4_2,p3fd,100 doors,php,0.9922826,Puzzles and Games,Logic and Mathematical Puzzles,T4,Different Language
tcob_1_1,tcob,100 prisoners,python,1.0,Puzzles and Games,Logic and Mathematical Puzzles,T1,Identical Clone
tcob_1_2,tcob,100 prisoners,python,0.9762548,Puzzles and Games,Logic and Mathematical Puzzles,T1,Different Whitespaces
