Group,Number of Instances,Total Passed,Total Failed,Average similarity_score,Median similarity_score,Accuracy,Precision,Recall,F1-Score,True Positives (TP),True Negatives (TN),False Positives (FP),False Negatives (FN)
Overall,799,799,0,0.9836184406007512,0.99506944,1.0,1.0,1.0,1.0,799,0,0,0
T1,200,200,0,0.9934299366499999,0.99903337,1.0,1.0,1.0,1.0,200,0,0,0
T2,150,150,0,0.9963765029333327,0.9986119,1.0,1.0,1.0,1.0,150,0,0,0
T3,200,200,0,0.9931006860500002,0.9972687849999999,1.0,1.0,1.0,1.0,200,0,0,0
T4,249,249,0,0.9604358797590354,0.96996427,1.0,1.0,1.0,1.0,249,0,0,0
T1 - Identical Clone,50,50,0,1.0000000064,1.0,1.0,1.0,1.0,1.0,50,0,0,0
T1 - Different Whitespaces,50,50,0,0.9843581078000002,0.9875044749999999,1.0,1.0,1.0,1.0,50,0,0,0
T1 - Different Comments,50,50,0,0.9972029178000001,0.9996232,1.0,1.0,1.0,1.0,50,0,0,0
T1 - Different Formatting,50,50,0,0.9921587146000002,0.997202225,1.0,1.0,1.0,1.0,50,0,0,0
T2 - Different Variable Names,50,50,0,0.9962050071999999,0.9985247500000001,1.0,1.0,1.0,1.0,50,0,0,0
T2 - Different Data Types,50,50,0,0.9946581579999999,0.99786825,1.0,1.0,1.0,1.0,50,0,0,0
T2 - Different Function Names,50,50,0,0.9982663436000001,0.99904145,1.0,1.0,1.0,1.0,50,0,0,0
T3 - Added Statements,50,50,0,0.9947228894000001,0.9977135850000001,1.0,1.0,1.0,1.0,50,0,0,0
T3 - Removed Statements,50,50,0,0.9914663934000002,0.99539113,1.0,1.0,1.0,1.0,50,0,0,0
T3 - Reordered Statements,50,50,0,0.9923959721999996,0.99896663,1.0,1.0,1.0,1.0,50,0,0,0
T3 - Control Flow Modifications,50,50,0,0.9938174892,0.996809155,1.0,1.0,1.0,1.0,50,0,0,0
T4 - Same Language,50,50,0,0.9888188482000001,0.99233105,1.0,1.0,1.0,1.0,50,0,0,0
T4 - Different Language,199,199,0,0.953304480653266,0.9620752,1.0,1.0,1.0,1.0,199,0,0,0
Domain - Game Development,164,164,0,0.9856054927439025,0.9943479,1.0,1.0,1.0,1.0,164,0,0,0
Domain - Mathematics,331,331,0,0.9829200668277953,0.99442613,1.0,1.0,1.0,1.0,331,0,0,0
Domain - Programming Concepts,256,256,0,0.9823425382421879,0.9954162,1.0,1.0,1.0,1.0,256,0,0,0
Domain - Networking,32,32,0,0.988778380625,0.996712805,1.0,1.0,1.0,1.0,32,0,0,0
Domain - Utilities & Scripts,16,16,0,0.9877933212500001,0.996670035,1.0,1.0,1.0,1.0,16,0,0,0
