Group,Number of Instances,Total Passed,Total Failed,Average similarity_score,Median similarity_score,Accuracy,Precision,Recall,F1-Score,True Positives (TP),True Negatives (TN),False Positives (FP),False Negatives (FN)
Overall,9788,9788,0,0.9846955050306555,0.9944586449999999,1.0,1.0,1.0,1.0,9788,0,0,0
T1,2476,2476,0,0.994640574426493,0.99874065,1.0,1.0,1.0,1.0,2476,0,0,0
T2,1857,1857,0,0.9938042646795916,0.99746716,1.0,1.0,1.0,1.0,1857,0,0,0
T3,2476,2476,0,0.9912980061752812,0.996255865,1.0,1.0,1.0,1.0,2476,0,0,0
T4,2979,2979,0,0.9652639000201416,0.9721966,1.0,1.0,1.0,1.0,2979,0,0,0
T1 - Identical Clone,619,619,0,0.9999510328594499,1.0,1.0,1.0,1.0,1.0,619,0,0,0
T1 - Different Whitespaces,619,619,0,0.9891752310016154,0.99295825,1.0,1.0,1.0,1.0,619,0,0,0
T1 - Different Comments,619,619,0,0.9952198233279489,0.9985444,1.0,1.0,1.0,1.0,619,0,0,0
T1 - Different Formatting,619,619,0,0.9942162105169636,0.9980842,1.0,1.0,1.0,1.0,619,0,0,0
T2 - Different Variable Names,619,619,0,0.993892758255251,0.9971433,1.0,1.0,1.0,1.0,619,0,0,0
T2 - Different Data Types,619,619,0,0.991777202100162,0.99636656,1.0,1.0,1.0,1.0,619,0,0,0
T2 - Different Function Names,619,619,0,0.9957428336833581,0.99854326,1.0,1.0,1.0,1.0,619,0,0,0
T3 - Added Statements,619,619,0,0.9911692511308553,0.99581075,1.0,1.0,1.0,1.0,619,0,0,0
T3 - Removed Statements,619,619,0,0.9902767422778677,0.9954353,1.0,1.0,1.0,1.0,619,0,0,0
T3 - Reordered Statements,619,619,0,0.9939641392407108,0.9983043,1.0,1.0,1.0,1.0,619,0,0,0
T3 - Control Flow Modifications,619,619,0,0.9897818920516965,0.9944832,1.0,1.0,1.0,1.0,619,0,0,0
T4 - Same Language,619,619,0,0.9867848220840072,0.9916968,1.0,1.0,1.0,1.0,619,0,0,0
T4 - Different Language,2360,2360,0,0.9596192174957627,0.9666710700000001,1.0,1.0,1.0,1.0,2360,0,0,0
Domain - Puzzles and Games,1166,1166,0,0.9867870495368789,0.9949904700000001,1.0,1.0,1.0,1.0,1166,0,0,0
Domain - Mathematics,3649,3649,0,0.9849709509098372,0.9948928,1.0,1.0,1.0,1.0,3649,0,0,0
Domain - Text Processing,489,489,0,0.9850549143353787,0.99551165,1.0,1.0,1.0,1.0,489,0,0,0
Domain - Programming Concepts,1503,1503,0,0.981226938742514,0.9907291,1.0,1.0,1.0,1.0,1503,0,0,0
Domain - Algorithms and Data Structures,1052,1052,0,0.9845215331463882,0.99446425,1.0,1.0,1.0,1.0,1052,0,0,0
Domain - Networking and Web Development,210,210,0,0.9850306946666665,0.99363965,1.0,1.0,1.0,1.0,210,0,0,0
Domain - Concurrency and Parallelism,91,91,0,0.9882658152747253,0.99650776,1.0,1.0,1.0,1.0,91,0,0,0
Domain - Graphics and Visualization,582,582,0,0.988811424896907,0.9960924849999999,1.0,1.0,1.0,1.0,582,0,0,0
Domain - Systems Programming and File I/O,478,478,0,0.9825649842468612,0.9918777000000001,1.0,1.0,1.0,1.0,478,0,0,0
Domain - Bioinformatics,32,32,0,0.9939395615625,0.9985965,1.0,1.0,1.0,1.0,32,0,0,0
Domain - Security and Cryptography,219,219,0,0.9878278857077627,0.99685633,1.0,1.0,1.0,1.0,219,0,0,0
Domain - Databases and Data Management,80,80,0,0.9827812230000001,0.9888036,1.0,1.0,1.0,1.0,80,0,0,0
Domain - Miscellaneous Topics,65,65,0,0.9705379447692305,0.9855398,1.0,1.0,1.0,1.0,65,0,0,0
Domain - Operating Systems and Shell Programming,110,110,0,0.9820737330909091,0.9914883649999999,1.0,1.0,1.0,1.0,110,0,0,0
Domain - Software Engineering,16,16,0,0.9843297375,0.988719865,1.0,1.0,1.0,1.0,16,0,0,0
Domain - Artificial Intelligence and Machine Learning,46,46,0,0.9931769182608691,0.9980610999999999,1.0,1.0,1.0,1.0,46,0,0,0
