Metric Category,Number of Instances,Total Passed,Total Failed,Average similarity_score,Median similarity_score,Accuracy,Precision,Recall,F1-Score,True Positives (TP),True Negatives (TN),False Positives (FP),False Negatives (FN)
Overall,67,67,0,0.9862592679104477,0.9977388,1.0,1.0,1.0,1.0,67,0,0,0
By Clone Type - T1,16,16,0,0.9944867768749999,0.99951485,1.0,1.0,1.0,1.0,16,0,0,0
By Clone Type - T2,12,12,0,0.9990978391666667,0.999426235,1.0,1.0,1.0,1.0,12,0,0,0
By Clone Type - T3,16,16,0,0.9968348543749999,0.99896472,1.0,1.0,1.0,1.0,16,0,0,0
By Clone Type - T4,23,23,0,0.9664804686956521,0.97955364,1.0,1.0,1.0,1.0,23,0,0,0
Within T1 - Identical Clone,4,4,0,0.999999975,1.0,1.0,1.0,1.0,1.0,4,0,0,0
Within T1 - Different Whitespaces,4,4,0,0.9831258225,0.9848057299999999,1.0,1.0,1.0,1.0,4,0,0,0
Within T1 - Different Comments,4,4,0,0.9994313850000001,0.99958165,1.0,1.0,1.0,1.0,4,0,0,0
Within T1 - Different Formatting,4,4,0,0.9953899249999999,0.99942965,1.0,1.0,1.0,1.0,4,0,0,0
Within T2 - Different Variable Names,4,4,0,0.998661975,0.99930825,1.0,1.0,1.0,1.0,4,0,0,0
Within T2 - Different Data Types,4,4,0,0.9990890674999999,0.9991418,1.0,1.0,1.0,1.0,4,0,0,0
Within T2 - Different Function Names,4,4,0,0.9995424749999999,0.99978965,1.0,1.0,1.0,1.0,4,0,0,0
Within T3 - Added Statements,4,4,0,0.9992456425,0.999702485,1.0,1.0,1.0,1.0,4,0,0,0
Within T3 - Removed Statements,4,4,0,0.9977281474999999,0.999135345,1.0,1.0,1.0,1.0,4,0,0,0
Within T3 - Reordered Statements,4,4,0,0.9971969925,0.9993393349999999,1.0,1.0,1.0,1.0,4,0,0,0
Within T3 - Control Flow Modifications,4,4,0,0.9931686350000001,0.9953860000000001,1.0,1.0,1.0,1.0,4,0,0,0
Within T4 - Same Language,4,4,0,0.98703818,0.9854494,1.0,1.0,1.0,1.0,4,0,0,0
Within T4 - Different Language,19,19,0,0.9621525294736841,0.97947675,1.0,1.0,1.0,1.0,19,0,0,0
By Domain - Game Development,67,67,0,0.9862592679104477,0.9977388,1.0,1.0,1.0,1.0,67,0,0,0
