Group,Number of Tests,Number of Top 5 Hits,Top 5 Hit Rate,Number of 1st in Top 5,First Hit Rate
Overall,9787,6338,0.6475937468069889,5752,0.587718401961786
T1,2476,2111,0.8525848142164781,2017,0.8146203554119548
T2,1857,1628,0.8766828217555197,1537,0.8276790522347873
T3,2476,1904,0.7689822294022617,1714,0.6922455573505655
T4,2978,695,0.2333781061114842,484,0.16252518468770988
T1 - Identical Clone,619,619,1.0,618,0.9983844911147012
T1 - Different Whitespaces,619,401,0.6478190630048465,361,0.5831987075928917
T1 - Different Comments,619,554,0.8949919224555735,532,0.8594507269789984
T1 - Different Formatting,619,537,0.8675282714054927,506,0.8174474959612278
T2 - Different Variable Names,619,537,0.8675282714054927,504,0.81421647819063
T2 - Different Data Types,619,522,0.8432956381260097,484,0.7819063004846527
T2 - Different Function Names,619,569,0.9192245557350566,549,0.8869143780290791
T3 - Added Statements,619,496,0.8012924071082391,439,0.7092084006462036
T3 - Removed Statements,619,447,0.7221324717285945,398,0.6429725363489499
T3 - Reordered Statements,619,521,0.8416801292407108,501,0.8093699515347335
T3 - Control Flow Modifications,619,440,0.7108239095315024,376,0.6074313408723748
T4 - Same Language,619,391,0.6316639741518578,309,0.4991922455573506
T4 - Different Language,2359,304,0.1288681644764731,175,0.07418397626112759
Domain - Puzzles and Games,1166,686,0.5883361921097771,647,0.5548885077186964
Domain - Mathematics,3648,2282,0.6255482456140351,2060,0.5646929824561403
Domain - Text Processing,489,340,0.6952965235173824,320,0.65439672801636
Domain - Programming Concepts,1503,1006,0.669328010645376,872,0.5801729873586161
Domain - Algorithms and Data Structures,1052,688,0.6539923954372624,626,0.5950570342205324
Domain - Networking and Web Development,210,137,0.6523809523809524,129,0.6142857142857143
Domain - Concurrency and Parallelism,91,57,0.6263736263736264,55,0.6043956043956044
Domain - Graphics and Visualization,582,411,0.7061855670103093,385,0.6615120274914089
Domain - Systems Programming and File I/O,478,330,0.6903765690376569,291,0.608786610878661
Domain - Bioinformatics,32,28,0.875,26,0.8125
Domain - Security and Cryptography,219,174,0.7945205479452054,160,0.730593607305936
Domain - Databases and Data Management,80,42,0.525,41,0.5125
Domain - Miscellaneous Topics,65,33,0.5076923076923077,29,0.4461538461538462
Domain - Operating Systems and Shell Programming,110,78,0.7090909090909091,73,0.6636363636363637
Domain - Software Engineering,16,10,0.625,8,0.5
Domain - Artificial Intelligence and Machine Learning,46,36,0.782608695652174,30,0.6521739130434783
