Group,Number of Tests,Number of Top 5 Hits,Top 5 Hit Rate,Number of 1st in Top 5,First Hit Rate
Overall,8046,6303,0.7833706189410887,5691,0.7073079791200596
T1,2476,2137,0.8630856219709209,2030,0.8198707592891761
T2,1857,1636,0.88099084544965,1555,0.8373721055465805
T3,2476,1947,0.7863489499192245,1756,0.7092084006462036
T4,1237,583,0.47130153597413094,350,0.28294260307194824
T1 - Identical Clone,619,619,1.0,618,0.9983844911147012
T1 - Different Whitespaces,619,419,0.6768982229402262,366,0.5912762520193862
T1 - Different Comments,619,560,0.9046849757673667,540,0.8723747980613893
T1 - Different Formatting,619,539,0.8707592891760905,506,0.8174474959612278
T2 - Different Variable Names,619,541,0.8739903069466882,516,0.8336025848142165
T2 - Different Data Types,619,522,0.8432956381260097,483,0.7802907915993538
T2 - Different Function Names,619,573,0.925686591276252,556,0.8982229402261712
T3 - Added Statements,619,490,0.7915993537964459,447,0.7221324717285945
T3 - Removed Statements,619,476,0.7689822294022617,418,0.6752827140549273
T3 - Reordered Statements,619,534,0.8626817447495961,510,0.8239095315024233
T3 - Control Flow Modifications,619,447,0.7221324717285945,381,0.6155088852988692
T4 - Same Language,619,387,0.6252019386106623,311,0.5024232633279483
T4 - Different Language,618,196,0.31715210355987056,39,0.06310679611650485
Domain - Puzzles and Games,949,703,0.7407797681770284,643,0.6775553213909379
Domain - Mathematics,3029,2273,0.750412677451304,2070,0.6833938593595246
Domain - Text Processing,390,331,0.8487179487179487,306,0.7846153846153846
Domain - Programming Concepts,1208,994,0.8228476821192053,860,0.7119205298013245
Domain - Algorithms and Data Structures,858,668,0.7785547785547785,601,0.7004662004662005
Domain - Networking and Web Development,169,141,0.834319526627219,120,0.7100591715976331
Domain - Concurrency and Parallelism,78,61,0.782051282051282,55,0.7051282051282052
Domain - Graphics and Visualization,494,404,0.8178137651821862,380,0.7692307692307693
Domain - Systems Programming and File I/O,403,333,0.826302729528536,297,0.7369727047146402
Domain - Bioinformatics,26,24,0.9230769230769231,24,0.9230769230769231
Domain - Security and Cryptography,182,167,0.9175824175824175,157,0.8626373626373627
Domain - Databases and Data Management,65,45,0.6923076923076923,39,0.6
Domain - Miscellaneous Topics,52,37,0.7115384615384616,28,0.5384615384615384
Domain - Operating Systems and Shell Programming,91,73,0.8021978021978022,70,0.7692307692307693
Domain - Software Engineering,13,11,0.8461538461538461,9,0.6923076923076923
Domain - Artificial Intelligence and Machine Learning,39,38,0.9743589743589743,32,0.8205128205128205
