Group,Number of Tests,Number of Top 5 Hits,Top 5 Hit Rate,Number of 1st in Top 5,First Hit Rate
Overall,9787,6400,0.653928680903239,5819,0.5945642178399918
T1,2476,2137,0.8630856219709209,2030,0.8198707592891761
T2,1857,1636,0.88099084544965,1555,0.8373721055465805
T3,2476,1947,0.7863489499192245,1756,0.7092084006462036
T4,2978,680,0.22834116856950973,478,0.1605104096709201
T1 - Identical Clone,619,619,1.0,618,0.9983844911147012
T1 - Different Whitespaces,619,419,0.6768982229402262,366,0.5912762520193862
T1 - Different Comments,619,560,0.9046849757673667,540,0.8723747980613893
T1 - Different Formatting,619,539,0.8707592891760905,506,0.8174474959612278
T2 - Different Variable Names,619,541,0.8739903069466882,516,0.8336025848142165
T2 - Different Data Types,619,522,0.8432956381260097,483,0.7802907915993538
T2 - Different Function Names,619,573,0.925686591276252,556,0.8982229402261712
T3 - Added Statements,619,490,0.7915993537964459,447,0.7221324717285945
T3 - Removed Statements,619,476,0.7689822294022617,418,0.6752827140549273
T3 - Reordered Statements,619,534,0.8626817447495961,510,0.8239095315024233
T3 - Control Flow Modifications,619,447,0.7221324717285945,381,0.6155088852988692
T4 - Same Language,619,387,0.6252019386106623,311,0.5024232633279483
T4 - Different Language,2359,293,0.12420517168291649,167,0.07079270877490462
Domain - Puzzles and Games,1166,707,0.6063464837049742,651,0.5583190394511149
Domain - Mathematics,3648,2283,0.6258223684210527,2103,0.5764802631578947
Domain - Text Processing,489,342,0.6993865030674846,321,0.656441717791411
Domain - Programming Concepts,1503,1031,0.6859614105123087,889,0.5914836992681304
Domain - Algorithms and Data Structures,1052,676,0.6425855513307985,610,0.5798479087452472
Domain - Networking and Web Development,210,145,0.6904761904761905,126,0.6
Domain - Concurrency and Parallelism,91,61,0.6703296703296703,56,0.6153846153846154
Domain - Graphics and Visualization,582,405,0.6958762886597938,383,0.6580756013745704
Domain - Systems Programming and File I/O,478,341,0.7133891213389121,309,0.6464435146443515
Domain - Bioinformatics,32,27,0.84375,27,0.84375
Domain - Security and Cryptography,219,174,0.7945205479452054,162,0.7397260273972602
Domain - Databases and Data Management,80,48,0.6,41,0.5125
Domain - Miscellaneous Topics,65,37,0.5692307692307692,29,0.4461538461538462
Domain - Operating Systems and Shell Programming,110,73,0.6636363636363637,71,0.6454545454545455
Domain - Software Engineering,16,11,0.6875,9,0.5625
Domain - Artificial Intelligence and Machine Learning,46,39,0.8478260869565217,32,0.6956521739130435
